repo,type,name,version,edition,is_workspace,members_count,rs_count,has_tests,has_benches,has_examples,has_build_rs,target_exists
KDesktopVirt,rust,kvirtualstage,0.2.1,2021,true,0,52,true,true,true,false,true
Tokn,rust,,,,true,2,35,true,true,true,false,true
PhenoDevOps,rust+go,phenodevops,0.1.0,2021,true,0,23,true,false,true,false,false
pheno,rust,,,,true,21,22,true,false,false,false,true
GDK,rust,gdk,1.0.0,2021,true,1,19,true,true,false,false,true
HexaKit,rust,hexakit,0.1.0,2021,true,0,19,true,false,false,false,true
Tasken,rust,taskkit,0.1.0,2021,true,0,16,false,false,false,false,true
Metron,rust,metrickit,0.1.0,2021,true,0,14,true,false,false,false,true
KlipDot,rust,klipdot,0.1.0,2021,true,0,13,true,false,false,false,true
Benchora,rust,gauge,0.2.0,2021,true,0,9,true,true,false,false,false
Agentora,rust,agentkit,0.1.0,2021,true,0,7,false,false,false,false,true
thegent-dispatch,rust,thegent-dispatch,0.1.0,2024,true,0,6,true,false,false,false,true
Configra,rust,,,,true,6,5,false,false,false,false,true
HeliosLab,rust,,,,true,6,5,false,false,false,false,true
PhenoProc,rust,,,,true,28,5,true,false,false,false,true
helios-cli,rust,helios,0.1.0,2021,true,0,5,false,false,false,true,true
helioscope,rust,,,,true,9,4,true,false,false,false,true
phenoAI,rust,,,,true,3,4,true,false,false,false,true
phenotype-bus,rust,phenotype-bus,0.1.0,2021,true,0,4,true,false,false,false,true
FocalPoint,rust,,,,true,56,3,true,false,true,false,true
PlayCua,rust,,,,true,1,3,true,false,false,false,true
bare-cua,rust,,,,true,1,3,true,false,false,false,true
phenoForge,rust,phenotype-forge,0.1.0,2021,true,0,3,true,false,false,false,false
BytePort,rust+go,github.com/KooshaPari/byteport,1.22,,true,1,2,true,false,false,false,true
PhenoMCP,rust+go,pheno-mcp,0.1.0,2024,true,1,2,true,false,true,false,true
PhenoObservability,rust,,,,true,12,2,true,false,true,false,true
PhenoRuntime,rust+go,pheno-runtime,1.85,2024,true,1,2,true,false,false,false,true
forgecode,rust,,,,true,1,2,false,false,false,false,true
rust,rust,agileplus-proto,0.1.0,2024,false,0,2,false,false,false,true,false
AgilePlus,rust,agileplus,0.1.0,2021,true,0,1,true,false,false,false,true
Eidolon,rust,,,,true,4,1,true,false,false,false,true
PhenoKits,rust,phenokits,0.1.0,2021,true,0,1,true,false,false,false,true
PhenoPlugins,rust,,,,true,4,1,true,false,false,false,true
Sidekick,rust,,,,true,2,1,true,false,false,false,true
Tracely,rust,,,,true,2,1,true,false,false,false,true
agileplus-agents,rust,,,,true,3,1,false,false,false,false,false
eyetracker,rust,,,,true,4,1,false,false,false,false,true
phenoUtils,rust,,,,true,5,1,true,false,false,false,true
phenotype-journeys,rust,,,,true,2,1,true,false,false,false,true
phenotype-tooling,rust,,,,true,17,1,true,false,false,false,true
rich-cli-kit,rust,,,,true,2,1,true,false,false,false,true
thegent-workspace,rust,thegent-workspace,0.1.0,2021,true,0,1,true,false,false,false,false
Civis,rust,,,,true,2,0,false,false,false,false,true
DevHex,go,github.com/KooshaPari/devenv-abstraction,1.25.0,,false,0,0,false,false,false,false,false
MCPForge,go,github.com/isaacphi/mcp-language-server,1.24.0,,false,0,0,false,false,false,false,false
PhenoCompose,go,github.com/kooshapari/nanovms,1.23,,false,0,0,false,false,false,false,false
PhenoLang,go,github.com/netweave/netweave,1.18,,false,0,0,false,false,false,false,false
PhenoVCS,rust,,,,true,1,0,false,false,false,false,true
agentapi-plusplus,go,github.com/coder/agentapi,1.24.6,,false,0,0,false,false,false,false,false
argis-extensions,go,github.com/kooshapari/bifrost-extensions,1.25.0,,false,0,0,false,false,false,false,false
cliproxyapi-plusplus,go,github.com/kooshapari/CLIProxyAPI/v7,1.26.0,,false,0,0,false,false,false,false,false
helios-router,rust,,,,true,16,0,true,false,false,false,true
kwality,go,kwality,1.24.0,,false,0,0,false,false,false,false,false
nanovms,go,github.com/kooshapari/nanovms,1.23,,false,0,0,false,false,false,false,false
netweave-final2,go,github.com/netweave/netweave,1.18,,false,0,0,false,false,false,false,false
pheno-cli,go,github.com/KooshaPari/pheno-cli,1.24.2,,false,0,0,false,false,false,false,false
phenoData,rust,,,,true,3,0,false,false,false,false,true
phenoShared,rust,,,,true,16,0,true,false,false,false,true
phenotype-ops-mcp,go,github.com/nanovms/ops-mcp,1.26.0,,false,0,0,false,false,false,false,false
